site,treatment_code,tree_id,species_name,harvest_year,wood_wet_weight_kg
Lakamane,2,11,Combretum glutinosum,2013,1.85
Lakamane,2,13,Combretum glutinosum,2013,1.95
Lakamane,2,15,Combretum glutinosum,2013,2
Lakamane,2,16,Combretum glutinosum,2013,0.5
Lakamane,2,17,Combretum glutinosum,2013,1
Lakamane,3,1,Combretum glutinosum,2013,2.25
Lakamane,3,3,Combretum glutinosum,2013,1.5
Lakamane,3,9,Combretum glutinosum,2013,4
Lakamane,3,10,Combretum glutinosum,2013,1.95
Lakamane,3,14,Combretum glutinosum,2013,2.95
Lakamane,3,15,Combretum glutinosum,2013,4
Lakamane,3,16,Combretum glutinosum,2013,2.75
Lakamane,3,19,Combretum glutinosum,2013,0.75
Lakamane,3,20,Combretum glutinosum,2013,0.5
Lakamane,4,1,Combretum glutinosum,2013,1.1
Lakamane,4,3,Combretum glutinosum,2013,4.25
Lakamane,4,5,Combretum glutinosum,2013,4.95
Lakamane,4,6,Combretum glutinosum,2013,17.1
Lakamane,4,9,Combretum glutinosum,2013,12.25
Lakamane,4,11,Combretum glutinosum,2013,1.65
Lakamane,4,14,Combretum glutinosum,2013,1.95
Lakamane,4,15,Combretum glutinosum,2013,1.25
