site,year,species_name,treatment_code,tree_id,wet_wood_weight_g,dry_wood_weight_g
Lakamane,2011,Combretum glutinosum,3,5,27,13.69
Lakamane,2011,Combretum glutinosum,3,6,20,5.46
Lakamane,2011,Combretum glutinosum,3,7,26,11.87
Lakamane,2011,Combretum glutinosum,3,11,23,12.23
Lakamane,2011,Combretum glutinosum,3,12,29,14.14
Lakamane,2011,Combretum glutinosum,3,13,25,10.73
Lakamane,2011,Combretum glutinosum,3,17,28,12.11
Lakamane,2011,Combretum glutinosum,3,18,8,4.83
Lakamane,2011,Combretum glutinosum,4,2,16,8.15
Lakamane,2011,Combretum glutinosum,4,4,32,14.82
Lakamane,2011,Combretum glutinosum,4,7,5,2.65
Lakamane,2011,Combretum glutinosum,4,8,26,15.71
Lakamane,2011,Combretum glutinosum,4,10,32,17.67
Lakamane,2011,Combretum glutinosum,4,12,43,20.65
Lakamane,2011,Combretum glutinosum,4,13,6,3.68
Lakamane,2011,Combretum glutinosum,4,16,40,19.75
