site,species_name,year,treatment_code,tree_id,stem_id,diameter_cm
Lakamane,Combretum glutinosum,2010,1,16,1,7.9
Lakamane,Combretum glutinosum,2010,1,16,2,6.5
Lakamane,Combretum glutinosum,2010,1,17,1,10.2
Lakamane,Combretum glutinosum,2010,1,18,1,12.7
Lakamane,Combretum glutinosum,2010,1,18,2,10.8
Lakamane,Combretum glutinosum,2010,1,19,1,10.8
Lakamane,Combretum glutinosum,2010,1,19,2,8.2
Lakamane,Combretum glutinosum,2010,1,20,1,12.9
Lakamane,Combretum glutinosum,2010,2,1,1,6.1
Lakamane,Combretum glutinosum,2010,2,2,1,9.1
Lakamane,Combretum glutinosum,2010,2,2,2,8.3
Lakamane,Combretum glutinosum,2010,2,2,3,8.4
Lakamane,Combretum glutinosum,2010,2,2,4,8.9
Lakamane,Combretum glutinosum,2010,2,3,1,7.1
Lakamane,Combretum glutinosum,2010,2,3,2,5.6
Lakamane,Combretum glutinosum,2010,2,4,1,6.5
Lakamane,Combretum glutinosum,2010,2,4,2,4.9
Lakamane,Combretum glutinosum,2010,2,5,1,3.9
Lakamane,Combretum glutinosum,2010,2,5,2,4.5
Lakamane,Combretum glutinosum,2010,2,6,1,6.7
Lakamane,Combretum glutinosum,2010,2,6,2,6.1
Lakamane,Combretum glutinosum,2010,2,7,1,9.4
Lakamane,Combretum glutinosum,2010,2,7,2,6
Lakamane,Combretum glutinosum,2010,2,7,3,6.3
Lakamane,Combretum glutinosum,2010,2,8,1,5.8
Lakamane,Combretum glutinosum,2010,2,9,1,6.4
Lakamane,Combretum glutinosum,2010,2,10,1,13.7
Lakamane,Combretum glutinosum,2010,2,10,2,8.3
Lakamane,Combretum glutinosum,2010,2,10,3,8.7
Lakamane,Combretum glutinosum,2010,2,10,4,7.2
Lakamane,Combretum glutinosum,2010,2,10,5,6.2
Lakamane,Combretum glutinosum,2010,2,10,6,9.3
Lakamane,Combretum glutinosum,2010,2,10,7,7.8
Lakamane,Combretum glutinosum,2010,2,11,1,3.7
Lakamane,Combretum glutinosum,2010,2,12,1,6.2
Lakamane,Combretum glutinosum,2010,2,13,1,7.2
Lakamane,Combretum glutinosum,2010,2,14,1,6.9
Lakamane,Combretum glutinosum,2010,2,15,1,5.8
Lakamane,Combretum glutinosum,2010,2,16,1,9.1
Lakamane,Combretum glutinosum,2010,2,17,1,6.6
Lakamane,Combretum glutinosum,2010,2,17,2,5.7
Lakamane,Combretum glutinosum,2010,2,17,3,3.9
Lakamane,Combretum glutinosum,2010,2,18,1,5.6
Lakamane,Combretum glutinosum,2010,2,19,1,8.9
Lakamane,Combretum glutinosum,2010,2,20,1,3.5
Lakamane,Combretum glutinosum,2010,3,1,1,6.9
Lakamane,Combretum glutinosum,2010,3,1,2,5.1
Lakamane,Combretum glutinosum,2010,3,2,1,13.9
Lakamane,Combretum glutinosum,2010,3,2,2,5.9
Lakamane,Combretum glutinosum,2010,3,2,3,5.1
Lakamane,Combretum glutinosum,2010,3,3,1,8.5
Lakamane,Combretum glutinosum,2010,3,5,1,10.1
Lakamane,Combretum glutinosum,2010,3,5,2,9.4
Lakamane,Combretum glutinosum,2010,3,5,3,7.4
Lakamane,Combretum glutinosum,2010,3,6,1,6.1
Lakamane,Combretum glutinosum,2010,3,6,2,5.7
Lakamane,Combretum glutinosum,2010,3,7,1,11.8
Lakamane,Combretum glutinosum,2010,3,7,2,7.2
Lakamane,Combretum glutinosum,2010,3,8,1,5.9
Lakamane,Combretum glutinosum,2010,3,9,1,9.1
Lakamane,Combretum glutinosum,2010,3,10,1,8.3
Lakamane,Combretum glutinosum,2010,3,11,1,13.8
Lakamane,Combretum glutinosum,2010,3,12,1,9.7
Lakamane,Combretum glutinosum,2010,3,13,1,7.9
Lakamane,Combretum glutinosum,2010,3,13,2,7.8
Lakamane,Combretum glutinosum,2010,3,13,3,4.4
Lakamane,Combretum glutinosum,2010,3,13,4,3.6
Lakamane,Combretum glutinosum,2010,3,14,1,9.8
Lakamane,Combretum glutinosum,2010,3,14,2,4.2
Lakamane,Combretum glutinosum,2010,3,15,1,9.5
Lakamane,Combretum glutinosum,2010,3,15,2,5.7
Lakamane,Combretum glutinosum,2010,3,15,3,3.8
Lakamane,Combretum glutinosum,2010,3,16,1,11.8
Lakamane,Combretum glutinosum,2010,3,17,1,8.1
Lakamane,Combretum glutinosum,2010,3,18,1,4.1
Lakamane,Combretum glutinosum,2010,3,19,1,10.1
Lakamane,Combretum glutinosum,2010,3,19,2,7.7
Lakamane,Combretum glutinosum,2010,3,20,1,4.1
Lakamane,Combretum glutinosum,2010,4,1,1,9.4
Lakamane,Combretum glutinosum,2010,4,2,1,5.9
Lakamane,Combretum glutinosum,2010,4,3,1,7.7
Lakamane,Combretum glutinosum,2010,4,3,2,6.7
Lakamane,Combretum glutinosum,2010,4,3,3,5.9
Lakamane,Combretum glutinosum,2010,4,4,1,8.9
Lakamane,Combretum glutinosum,2010,4,4,2,6.4
Lakamane,Combretum glutinosum,2010,4,5,1,9.2
Lakamane,Combretum glutinosum,2010,4,5,2,7.7
Lakamane,Combretum glutinosum,2010,4,6,1,13.8
Lakamane,Combretum glutinosum,2010,4,7,1,5.6
Lakamane,Combretum glutinosum,2010,4,9,1,20.1
Lakamane,Combretum glutinosum,2010,4,9,2,6.9
Lakamane,Combretum glutinosum,2010,4,10,1,7.3
Lakamane,Combretum glutinosum,2010,4,10,2,6.5
Lakamane,Combretum glutinosum,2010,4,10,3,3.8
Lakamane,Combretum glutinosum,2010,4,11,1,5.7
Lakamane,Combretum glutinosum,2010,4,11,2,6.8
Lakamane,Combretum glutinosum,2010,4,12,1,12.1
Lakamane,Combretum glutinosum,2010,4,13,1,7.2
Lakamane,Combretum glutinosum,2010,4,13,2,7.1
Lakamane,Combretum glutinosum,2010,4,14,1,6.8
Lakamane,Combretum glutinosum,2010,4,14,2,7.1
Lakamane,Combretum glutinosum,2010,4,14,3,4.1
Lakamane,Combretum glutinosum,2010,4,15,1,9.1
Lakamane,Combretum glutinosum,2010,4,15,2,7.9
Lakamane,Combretum glutinosum,2010,4,15,3,6.1
Lakamane,Combretum glutinosum,2010,4,16,1,13.8
Lakamane,Combretum glutinosum,2010,5,1,1,6.9
Lakamane,Combretum glutinosum,2010,5,2,1,10.7
Lakamane,Combretum glutinosum,2010,5,2,2,6.5
Lakamane,Combretum glutinosum,2010,5,3,1,8.8
Lakamane,Combretum glutinosum,2010,5,3,2,8.1
Lakamane,Combretum glutinosum,2010,5,3,3,6.9
Lakamane,Combretum glutinosum,2010,5,4,1,6.8
Lakamane,Combretum glutinosum,2010,5,4,2,6.3
Lakamane,Combretum glutinosum,2010,5,5,1,7.8
Lakamane,Combretum glutinosum,2010,5,5,2,8
Lakamane,Combretum glutinosum,2010,5,6,1,8.2
Lakamane,Combretum glutinosum,2010,5,6,2,7.1
Lakamane,Combretum glutinosum,2010,5,6,3,3.7
Lakamane,Combretum glutinosum,2010,5,7,1,8.4
Lakamane,Combretum glutinosum,2010,5,8,1,7.7
Lakamane,Combretum glutinosum,2010,5,8,2,9.4
Lakamane,Combretum glutinosum,2010,5,8,3,6.4
Lakamane,Combretum glutinosum,2010,5,9,1,9.9
Lakamane,Combretum glutinosum,2010,5,9,2,3.7
