"site","species_name","year","treatment_code","tree_id","stem_id","diameter_cm","initial_biomass_g"
"Tiendega","Detarium microcarpum",2010,5,19,1,9.8,12430
"Tiendega","Detarium microcarpum",2010,5,20,1,4.9,1569
"Lakamane","Combretum glutinosum",2010,1,1,1,9.4,15076
"Lakamane","Combretum glutinosum",2010,1,2,1,10.4,20387
"Lakamane","Combretum glutinosum",2010,1,3,1,8.21,10064
"Lakamane","Combretum glutinosum",2010,1,4,1,5.5,3043
"Lakamane","Combretum glutinosum",2010,1,5,1,7.6,7992
"Lakamane","Combretum glutinosum",2010,1,6,1,10.6,21580
"Lakamane","Combretum glutinosum",2010,1,7,1,10.5,20978
"Lakamane","Combretum glutinosum",2010,1,8,1,4.4,1563
"Lakamane","Combretum glutinosum",2010,1,9,1,12.9,38787
"Lakamane","Combretum glutinosum",2010,1,10,1,9.8,17073
"Lakamane","Combretum glutinosum",2010,1,11,1,7.9,8971
"Lakamane","Combretum glutinosum",2010,1,12,1,6.5,5011
"Lakamane","Combretum glutinosum",2010,1,13,1,11.7,28979
"Lakamane","Combretum glutinosum",2010,1,14,1,11.9,30483
"Lakamane","Combretum glutinosum",2010,1,15,1,7.4,7380
"Lakamane","Combretum glutinosum",2010,1,16,1,7.9,8971
"Lakamane","Combretum glutinosum",2010,1,17,1,10.2,19239
"Lakamane","Combretum glutinosum",2010,1,18,1,12.7,37019
"Lakamane","Combretum glutinosum",2010,1,19,1,10.8,22819
"Lakamane","Combretum glutinosum",2010,1,20,1,12.9,38787
"Lakamane","Combretum glutinosum",2010,2,1,1,6.1,4146
"Lakamane","Combretum glutinosum",2010,2,2,1,9.1,13684
"Lakamane","Combretum glutinosum",2010,2,3,1,7.1,6523
"Lakamane","Combretum glutinosum",2010,2,4,1,6.5,5011
"Lakamane","Combretum glutinosum",2010,2,5,1,3.9,1090
"Lakamane","Combretum glutinosum",2010,2,6,1,6.7,5486
"Lakamane","Combretum glutinosum",2010,2,7,1,9.4,15076
"Lakamane","Combretum glutinosum",2010,2,8,1,5.8,3566
"Lakamane","Combretum glutinosum",2010,2,9,1,6.4,4784
"Lakamane","Combretum glutinosum",2010,2,10,1,13.7,46420
"Lakamane","Combretum glutinosum",2010,2,11,1,3.7,932
"Lakamane","Combretum glutinosum",2010,2,12,1,6.2,4352
"Lakamane","Combretum glutinosum",2010,2,13,1,7.2,6801
"Lakamane","Combretum glutinosum",2010,2,14,1,6.9,5989
"Lakamane","Combretum glutinosum",2010,2,15,1,5.8,3566
"Lakamane","Combretum glutinosum",2010,2,16,1,9.1,13684
"Lakamane","Combretum glutinosum",2010,2,17,1,6.6,5245
"Lakamane","Combretum glutinosum",2010,2,18,1,5.6,3211
"Lakamane","Combretum glutinosum",2010,2,19,1,8.9,12806
"Lakamane","Combretum glutinosum",2010,2,20,1,3.5,789
"Lakamane","Combretum glutinosum",2010,3,1,1,6.9,5989
"Lakamane","Combretum glutinosum",2010,3,2,1,13.9,48472
"Lakamane","Combretum glutinosum",2010,3,3,1,8.5,11163
"Lakamane","Combretum glutinosum",2010,3,5,1,10.1,18681
"Lakamane","Combretum glutinosum",2010,3,6,1,6.1,4146
"Lakamane","Combretum glutinosum",2010,3,7,1,11.8,29725
"Lakamane","Combretum glutinosum",2010,3,8,1,5.9,3753
"Lakamane","Combretum glutinosum",2010,3,9,1,9.1,13684
"Lakamane","Combretum glutinosum",2010,3,10,1,8.3,10397
"Lakamane","Combretum glutinosum",2010,3,11,1,13.8,47439
"Lakamane","Combretum glutinosum",2010,3,12,1,9.7,16558
"Lakamane","Combretum glutinosum",2010,3,13,1,7.9,8971
"Lakamane","Combretum glutinosum",2010,3,14,1,9.8,17073
"Lakamane","Combretum glutinosum",2010,3,15,1,9.5,15560
"Lakamane","Combretum glutinosum",2010,3,16,1,11.8,29725
"Lakamane","Combretum glutinosum",2010,3,17,1,8.1,9667
"Lakamane","Combretum glutinosum",2010,3,18,1,4.1,1266
"Lakamane","Combretum glutinosum",2010,3,19,1,10.1,18681
"Lakamane","Combretum glutinosum",2010,3,20,1,4.1,1266
"Lakamane","Combretum glutinosum",2010,4,1,1,9.4,15076
"Lakamane","Combretum glutinosum",2010,4,2,1,5.9,3753
"Lakamane","Combretum glutinosum",2010,4,3,1,7.7,8310
"Lakamane","Combretum glutinosum",2010,4,4,1,8.9,12806
"Lakamane","Combretum glutinosum",2010,4,5,1,9.2,14138
"Lakamane","Combretum glutinosum",2010,4,6,1,13.8,47439
"Lakamane","Combretum glutinosum",2010,4,7,1,5.6,3211
"Lakamane","Combretum glutinosum",2010,4,9,1,20.1,145792
"Lakamane","Combretum glutinosum",2010,4,10,1,7.3,7087
"Lakamane","Combretum glutinosum",2010,4,11,1,5.7,3386
"Lakamane","Combretum glutinosum",2010,4,12,1,12.1,32038
"Lakamane","Combretum glutinosum",2010,4,13,1,7.2,6801
"Lakamane","Combretum glutinosum",2010,4,14,1,6.8,5734
"Lakamane","Combretum glutinosum",2010,4,15,1,9.1,13684
"Lakamane","Combretum glutinosum",2010,4,16,1,13.8,47439
"Lakamane","Combretum glutinosum",2010,5,1,1,6.9,5989
"Lakamane","Combretum glutinosum",2010,5,2,1,10.7,22194
"Lakamane","Combretum glutinosum",2010,5,3,1,8.8,12381
"Lakamane","Combretum glutinosum",2010,5,4,1,6.8,5734
"Lakamane","Combretum glutinosum",2010,5,5,1,7.8,8637
"Lakamane","Combretum glutinosum",2010,5,6,1,8.2,10027
"Lakamane","Combretum glutinosum",2010,5,7,1,8.4,10775
