Site,Tree_ID,Species,Treatment,Circumference,Diameter (year 1),Y1_Growth (circ.),Y1_Growth (diam.),D2_Y2 (cm),Circ Y2,D2_calc_Y2,Y3_TotGrowth (circ.),Y1-Y3_Growth,Y1-Y3_growth_diam,D3_Y3,FinalState
Lakamane,C13_2,Combretum glutinosum,C,20.8,6.3,0.3,0.095493047,6.395493047,21.1,6.716344272,0.5,0.2,0.063662031,6.459155078,alive
Lakamane,C3_1,Combretum glutinosum,C,35.2,8.8,1.7,0.541127264,9.341127264,36.9,11.74564472,1.9,0.2,0.063662031,9.404789295,alive
Lakamane,C3_2,Combretum glutinosum,C,32.8,8.1,1.2,0.381972186,8.481972186,34,10.82254527,1,-0.2,-0.063662031,8.418310155,alive
Lakamane,C3_3,Combretum glutinosum,C,26.1,6.9,1.3,0.413803202,7.313803202,27.4,8.721698248,1.1,-0.2,-0.063662031,7.250141171,alive
Lakamane,C12_1,Combretum glutinosum,C,35.4,10.8,1.4,0.445634217,11.24563422,36.8,11.71381371,2.98,1.58,0.502930045,11.74856426,alive
Lakamane,C12_2,Combretum glutinosum,C,23.5,6.7,1,0.318310155,7.018310155,24.5,7.798598799,2.8,1.8,0.572958279,7.591268434,alive
Lakamane,C12_3,Combretum glutinosum,C,32.5,9.5,1.4,0.445634217,9.945634217,33.9,10.79071426,2.7,1.3,0.413803202,10.35943742,alive
Lakamane,C12_4,Combretum glutinosum,C,38.1,13.5,0.7,0.222817109,13.72281711,38.8,12.35043402,1,0.3,0.095493047,13.81831016,alive
Lakamane,C1,Combretum glutinosum,C,24.9,6.9,1.7,0.541127264,7.441127264,26.6,8.467050124,3.8,2.1,0.668451326,8.109578589,alive
Lakamane,C14_1,Combretum glutinosum,C,33.7,9.3,1,0.318310155,9.618310155,34.7,11.04536238,2.1,1.1,0.350141171,9.968451326,alive
Lakamane,C14_2,Combretum glutinosum,C,27.1,7.4,1,0.318310155,7.718310155,28.1,8.944515357,1.6,0.6,0.190986093,7.909296248,alive
Lakamane,C14_3,Combretum glutinosum,C,21.9,6.7,0.9,0.28647914,6.98647914,22.8,7.257471535,1,0.1,0.031831016,7.018310155,alive
Lakamane,C8_1,Combretum glutinosum,C,32.6,7.7,1.1,0.350141171,8.050141171,33.7,10.72705223,3.5,2.4,0.763944372,8.814085543,alive
Lakamane,C8_2,Combretum glutinosum,C,30.8,9.4,1.1,0.350141171,9.750141171,31.9,10.15409395,3.2,2.1,0.668451326,10.4185925,alive
Lakamane,C8_3,Combretum glutinosum,C,22.8,6.4,1.3,0.413803202,6.813803202,24.1,7.671274737,3.6,2.3,0.732113357,7.545916558,alive
Lakamane,C5_1,Combretum glutinosum,C,28,7.8,0.8,0.254648124,8.054648124,28.8,9.167332465,2.2,1.4,0.445634217,8.500282341,alive
Lakamane,C5_2,Combretum glutinosum,C,25.8,8,1.5,0.477465233,8.477465233,27.3,8.689867233,3.2,1.7,0.541127264,9.018592496,alive
Lakamane,C4_1,Combretum glutinosum,C,24.9,6.8,0.9,0.28647914,7.08647914,25.8,8.212402,2.8,1.9,0.604789295,7.691268434,alive
Lakamane,C4_2,Combretum glutinosum,C,21.7,6.3,1.3,0.413803202,6.713803202,23,7.321133566,3.7,2.4,0.763944372,7.477747574,alive
Lakamane,C7,Combretum glutinosum,C,26.7,8.4,2.1,0.668451326,9.068451326,28.8,9.167332465,5.3,3.2,1.018592496,10.08704382,alive
Lakamane,C11,Combretum glutinosum,C,30.9,8.9,1.2,0.381972186,9.281972186,32.1,10.21775598,1.4,0.2,0.063662031,9.345634217,alive
