"","Site","Treatment","ID","Species","Year.Harvested","TOTAL.BIOMASS..kg.","Initial.Biomass..g.","Initial.Biomass..kg.","rrg","fire","herb"
"203","Lakamane",2,1,"Combretum glutinosum",2013,1.1,3932.600747,3.932600747,0.0822119743040569,"y","n"
"204","Lakamane",2,2,"Combretum glutinosum",2013,1.716,41969.11235,41.96911235,0.0133578126921958,"y","n"
"205","Lakamane",2,3,"Combretum glutinosum",2013,0.66,9095.414823,9.095414823,0.0233506921256454,"y","n"
"206","Lakamane",2,8,"Combretum glutinosum",2013,0.22,3418.8084,3.4188084,0.0207880653690924,"y","n"
"207","Lakamane",2,10,"Combretum glutinosum",2013,0.44,87766.52263,87.76652263,0.00166692543281588,"y","n"
"208","Lakamane",2,11,"Combretum glutinosum",2013,0.5896,981.4696443,0.9814696443,0.15682029436354,"y","n"
"209","Lakamane",2,13,"Combretum glutinosum",2013,0.27632,6231.284786,6.231284786,0.01446297429348,"y","n"
"210","Lakamane",2,15,"Combretum glutinosum",2013,1.364,3418.8084,3.4188084,0.111911945348655,"y","n"
"211","Lakamane",2,16,"Combretum glutinosum",2013,1.144,11938.43564,11.93843564,0.030502486249259,"y","n"
"212","Lakamane",2,17,"Combretum glutinosum",2013,NA,9287.616165,9.287616165,NA,"y","n"
"213","Lakamane",3,1,"Combretum glutinosum",2013,0.44,7929.062062,7.929062062,0.0180023557492883,"n","y"
"214","Lakamane",3,3,"Combretum glutinosum",2013,0.22,9878.884407,9.878884407,0.00734179062697941,"n","y"
"215","Lakamane",3,9,"Combretum glutinosum",2013,1.1,11938.43564,11.93843564,0.0293795006963264,"n","y"
"216","Lakamane",3,10,"Combretum glutinosum",2013,0.03256,9246.962883,9.246962883,0.00117165712319611,"n","y"
"217","Lakamane",3,14,"Combretum glutinosum",2013,0.06204,16061.02954,16.06102954,0.00128510824947462,"n","y"
"218","Lakamane",3,15,"Combretum glutinosum",2013,0.704,17767.39094,17.76739094,0.0129527639721105,"n","y"
"219","Lakamane",3,16,"Combretum glutinosum",2013,0.08712,24559.62518,24.55962518,0.00118033620977487,"n","y"
"220","Lakamane",3,19,"Combretum glutinosum",2013,0.12144,23454.23215,23.45423215,0.00172146171982372,"n","y"
"221","Lakamane",3,20,"Combretum glutinosum",2013,2.068,1305.113364,1.305113364,0.316515419599126,"n","y"
"222","Lakamane",4,1,"Combretum glutinosum",2013,1.27028,13063.36404,13.06336404,0.0309326099531659,"n","n"
"223","Lakamane",4,3,"Combretum glutinosum",2013,0.50424,16195.72034,16.19572034,0.0102197712584104,"n","n"
"224","Lakamane",4,5,"Combretum glutinosum",2013,1.7072,19814.29109,19.81429109,0.0275495239638682,"n","n"
"225","Lakamane",4,6,"Combretum glutinosum",2013,1.584,37931.40762,37.93140762,0.0136370653913163,"n","n"
"226","Lakamane",4,9,"Combretum glutinosum",2013,5.72,113284.6753,113.2846753,0.0164196264707034,"n","n"
"227","Lakamane",4,11,"Combretum glutinosum",2013,0.07964,8574.587529,8.574587529,0.00308168096963968,"n","n"
"228","Lakamane",4,14,"Combretum glutinosum",2013,1.144,12616.00932,12.61600932,0.028933307141878,"n","n"
"229","Lakamane",4,15,"Combretum glutinosum",2013,0.13244,23933.08972,23.93308972,0.0018395020197756,"n","n"
